COMPANY|TICKER|SECTOR|metric|latest quarter value( eg,Q2 2026)|last year quarter value ( eg,Q2 2025)|Analyst_view|source|importance|date_added
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Semiconductor Systems Revenue|Q2 2026: $5.965B|Q2 2025: $5.401B|Core equipment revenue grew 10.4% YoY as AI-related foundry/logic, DRAM and advanced-packaging demand strengthened.|IR/SEC|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Applied Global Services Revenue|Q2 2026: $1.665B|Q2 2025: $1.420B|Services revenue grew 17.3% YoY, providing a stronger recurring and installed-base-linked growth contribution.|IR/SEC|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Semiconductor Systems Operating Margin|Q2 2026: 35.1%|Q2 2025: 32.8%|Segment operating margin expanded 230 bps YoY, indicating favorable mix, pricing and manufacturing leverage.|IR/SEC|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Applied Global Services Operating Margin|Q2 2026: 29.2%|Q2 2025: 26.6%|Services operating margin expanded 260 bps YoY, showing improved profitability alongside double-digit growth.|IR/SEC|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Foundry, Logic and Other Revenue Mix|Q2 2026: 67%|Q2 2025: 66%|Foundry/logic mix increased 1 point and remains the largest Semiconductor Systems demand pool.|IR/SEC|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|DRAM Revenue Mix|Q2 2026: 29%|Q2 2025: 27%|DRAM mix increased 2 points as AI computing accelerated capacity additions and next-generation architecture investment.|IR/SEC|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Flash Memory Revenue Mix|Q2 2026: 4%|Q2 2025: 7%|Flash mix declined 3 points, showing weaker relative contribution than DRAM and foundry/logic.|IR/SEC|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Calendar 2026 Semiconductor Equipment Growth Outlook|Q2 2026: >30%|Q2 2025: N/A|Management raised its semiconductor-equipment growth expectation above 30%, signaling stronger demand visibility but remaining forward-looking.|IR|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Calendar 2026 Advanced Packaging Revenue Growth Outlook|Q2 2026: >50%|Q2 2025: N/A|Expected advanced-packaging revenue growth above 50% identifies packaging as a major AI-driven expansion engine.|IR|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Applied Global Services Growth Outlook|Q2 2026: Mid-teens or higher|Q2 2025: N/A|Management expects mid-teens or potentially higher services growth, supporting recurring revenue momentum.|IR|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Leading-edge Foundry/Logic, DRAM and Advanced Packaging Share of 2026 WFE Growth|Q2 2026: >80%|Q2 2025: N/A|More than 80% of expected 2026 WFE growth is concentrated in markets where Applied reports number-one process-equipment positions.|IR|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|AIx-connected Chambers|Q2 2026: >35,000|Q2 2025: N/A|More than 35,000 connected chambers expand the installed base for AI-powered monitoring, diagnostics and service monetization.|IR|Tier 1 — Core|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Semiconductor Systems Gross Margin|Q2 2026: 54.7%|Q2 2025: 53.5%|Segment gross margin expanded 120 bps YoY, demonstrating stronger equipment economics and favorable product mix.|IR/SEC|Tier 2 — High|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Applied Global Services Gross Margin|Q2 2026: 34.7%|Q2 2025: 33.5%|Services gross margin expanded 120 bps YoY while revenue accelerated.|IR/SEC|Tier 2 — High|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|AIx Customer Response-Time Improvement|Q2 2026: 30% faster|Q2 2025: N/A|AI-powered monitoring delivered 30% faster response times, supporting higher customer wafer output and service value.|IR|Tier 2 — High|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Manufacturing Capacity Expansion|Q2 2026: Nearly 2x|Q2 2025: N/A|Nearly doubled manufacturing capacity across the U.S., Europe and Singapore improves readiness for higher customer demand.|IR|Tier 2 — High|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Employees Using AI|Q2 2026: >35,000|Q2 2025: N/A|Broad internal AI adoption is intended to accelerate R&D, optimize operations and redirect resources to higher-value work.|IR|Tier 3 — Supporting|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|EPIC Center Named Partners|Q2 2026: 9|Q2 2025: N/A|Nine named chipmaker, innovation and research partners strengthen the collaborative development ecosystem, though commercialization impact is not yet quantified.|IR|Tier 3 — Supporting|2026-08-16
Applied Materials, Inc.|AMAT|Semiconductor Equipment|Other Segment Revenue|Q2 2026: $280M|Q2 2025: $279M|Other segment revenue was essentially flat YoY and remains a small contributor relative to core equipment and services.|IR/SEC|Tier 4 — Context|2026-08-16
